skill_category,skill,info_url
"Agile Software Development","Agile Coaching",https://lightcast.io/open-skills/skills/BGS8094E7CD76B444A65
"Agile Software Development","Agile Leadership",https://lightcast.io/open-skills/skills/KS120B877X78XJ03K8VX
"Agile Software Development","Agile Management",https://lightcast.io/open-skills/skills/KS120B96BV0RVFP988G4
"Agile Software Development","Agile Methodology",https://lightcast.io/open-skills/skills/KS120B874P2P6BK1MQ0T
"Agile Software Development","Agile Modeling",https://lightcast.io/open-skills/skills/KS120B96G7913WVKPLLS
"Agile Software Development","Agile Project Management",https://lightcast.io/open-skills/skills/ES5084E497CF6A499186
"Agile Software Development","Agile Projects",https://lightcast.io/open-skills/skills/ESDA3100E54C874B7AAD
"Agile Software Development","Agile Software Development",https://lightcast.io/open-skills/skills/ES9C0ADA3C9397DD6AED
"Agile Software Development","Agile Testing",https://lightcast.io/open-skills/skills/KS120BB62Q72FBYRG5XC
"Agile Software Development",Backlogs,https://lightcast.io/open-skills/skills/KS7G5J170LW5TFR1PHCV
"Agile Software Development","Behavior-Driven Development",https://lightcast.io/open-skills/skills/KS120YP719X2MH1K76LX
"Agile Software Development","Disciplined Agile Delivery",https://lightcast.io/open-skills/skills/KS1230N5Z09NWDLW6XVX
"Agile Software Development","Dynamic Systems Development Methods",https://lightcast.io/open-skills/skills/KS1236H6Z0HGJD5X6YSQ
"Agile Software Development","Extreme Programming",https://lightcast.io/open-skills/skills/KSLUY46SBLH2XBCFWFC1
"Agile Software Development","Feature-Driven Development (FDD)",https://lightcast.io/open-skills/skills/KS7G7LF6NWQ8QQYLJ7SK
"Agile Software Development","Iterative and Incremental Development",https://lightcast.io/open-skills/skills/KS1253H5Z1QZVY5T3DWX
"Agile Software Development",JIRA,https://lightcast.io/open-skills/skills/KS120QQ6ZN003B8B7FK1
"Agile Software Development",Kanban,NULL
"Agile Software Development","Lean Software Development",NULL
"Agile Software Development","Oracle Agile",https://lightcast.io/open-skills/skills/BGSCD0D8EF5AC4BA8465
"Agile Software Development","Pair Programming",https://lightcast.io/open-skills/skills/KS127JN6PW8M653Y85DV
"Agile Software Development","Pivotal Tracker (Software)",https://lightcast.io/open-skills/skills/KSFL9WW0GENQQP61SVAE
"Agile Software Development","Product Backlog Grooming",https://lightcast.io/open-skills/skills/ES7B8BD06C37DD5F7961
"Agile Software Development","Rally Software",https://lightcast.io/open-skills/skills/KS128CM6NK65LZ4T6TQS
"Agile Software Development","Rapid Application Development",https://lightcast.io/open-skills/skills/KS128BP71LW3148D259N
"Agile Software Development",Redmine,https://lightcast.io/open-skills/skills/KS128G76T223RNHX0NKL
"Agile Software Development","Scaled Agile Framework",https://lightcast.io/open-skills/skills/KS440B16XNZ7MYQTLTR2
"Agile Software Development","Scrum (Software Development)",https://lightcast.io/open-skills/skills/KS1282N6NQMZ95M1HJ7L
"Agile Software Development","Sprint Backlogs",https://lightcast.io/open-skills/skills/ES1E3E1D75F294DD5810
"Agile Software Development","Sprint Planning",https://lightcast.io/open-skills/skills/ES57AC32F3207A1E9577
"Agile Software Development","Sprint Retrospectives",https://lightcast.io/open-skills/skills/ES117DDC9B2BD1416125
"Agile Software Development","Story Point Estimation",https://lightcast.io/open-skills/skills/ES85AEF14753A5C3242A
"Agile Software Development","Test-Driven Development (TDD)",https://lightcast.io/open-skills/skills/KS7G8G66BTD4V8K3NCVF
"Agile Software Development",Timeboxing,https://lightcast.io/open-skills/skills/KS441DL6GKQW0SN0D6TX
"Agile Software Development","Unified Process",https://lightcast.io/open-skills/skills/KS441N4788L1KDHJNB58
"Agile Software Development",VersionOne,NULL
"Agile Software Development",ZenHub,https://lightcast.io/open-skills/skills/BGS4455EE4385311E0DC
"Application Programming Interfaces (API)",".NET Remoting",https://lightcast.io/open-skills/skills/KS126Y16DLZ0N5THPLDM
"Application Programming Interfaces (API)","Amazon API Gateway",https://lightcast.io/open-skills/skills/ES8C3225F440E16A35D6
"Application Programming Interfaces (API)","Amazon Product Advertising API",https://lightcast.io/open-skills/skills/KS120FG6T3X6NX4GD38M
"Application Programming Interfaces (API)","API Design",https://lightcast.io/open-skills/skills/KSS344MJ1FTC11D417OQ
"Application Programming Interfaces (API)","API Gateway",https://lightcast.io/open-skills/skills/KSSJWZXL7CV40W8V1XSG
"Application Programming Interfaces (API)","API Management",https://lightcast.io/open-skills/skills/KSX7P09OI655CWYTVMN8
"Application Programming Interfaces (API)","API Throttling",https://lightcast.io/open-skills/skills/KSLBN610H23NXCFCFLRF
"Application Programming Interfaces (API)","Application Development System (ADS)",NULL
"Application Programming Interfaces (API)","Application Programming Interface (API)",https://lightcast.io/open-skills/skills/KS1208P6ZMZ4N872Y7X5
"Application Programming Interfaces (API)",Aspose,https://lightcast.io/open-skills/skills/KSS0JO5L8ZP1KUP1WSVE
"Application Programming Interfaces (API)","AWS AppSync",https://lightcast.io/open-skills/skills/ES9D43585B5783E22072
"Application Programming Interfaces (API)","Azure API Apps",https://lightcast.io/open-skills/skills/ES9BD933F15B5EADD4BE
"Application Programming Interfaces (API)","Azure API Management",https://lightcast.io/open-skills/skills/ESC12BE82D8A0F2CA4FC
"Application Programming Interfaces (API)","Box API",https://lightcast.io/open-skills/skills/KSZ1RT4DYT3HOTHYZI1C
"Application Programming Interfaces (API)","Camera API",https://lightcast.io/open-skills/skills/KSX3VW5QDDK3810PCRRR
"Application Programming Interfaces (API)","Content Repository API For Java",https://lightcast.io/open-skills/skills/KS125L379G50N3RFRHDR
"Application Programming Interfaces (API)","Core API",https://lightcast.io/open-skills/skills/KSWUM5WNZACF0UQECWZ1
"Application Programming Interfaces (API)","Core Audio",https://lightcast.io/open-skills/skills/KS122DG6ZGC6KJLWBG7Q
"Application Programming Interfaces (API)",Direct3D,https://lightcast.io/open-skills/skills/KS123006J674RCBW47QK
"Application Programming Interfaces (API)",Document.write,https://lightcast.io/open-skills/skills/KSKXWKPYXOLCO2CU6WAR
