zip,city,county_name,state_id,state_name,,lat,lng
601,Adjuntas,Adjuntas,PR,Puerto Rico,,18.18027,-66.75266
602,Aguada,Aguada,PR,Puerto Rico,,18.36075,-67.17541
603,Aguadilla,Aguadilla,PR,Puerto Rico,,18.45744,-67.12225
606,Maricao,Maricao,PR,Puerto Rico,,18.16585,-66.93716
610,Anasco,Añasco,PR,Puerto Rico,,18.2911,-67.12243
611,Angeles,Utuado,PR,Puerto Rico,,18.27698,-66.80688
612,Arecibo,Arecibo,PR,Puerto Rico,,18.41283,-66.7051
616,Bajadero,Arecibo,PR,Puerto Rico,,18.41878,-66.6679
617,Barceloneta,Barceloneta,PR,Puerto Rico,,18.44598,-66.56006
622,Boqueron,Cabo Rojo,PR,Puerto Rico,,17.98892,-67.1566
623,Cabo Rojo,Cabo Rojo,PR,Puerto Rico,,18.08429,-67.15336
624,Penuelas,Peñuelas,PR,Puerto Rico,,18.05905,-66.71932
627,Camuy,Camuy,PR,Puerto Rico,,18.41905,-66.86037
631,Castaner,Lares,PR,Puerto Rico,,18.1852,-66.83169
637,Sabana Grande,Sabana Grande,PR,Puerto Rico,,18.081,-66.94659
638,Ciales,Ciales,PR,Puerto Rico,,18.28462,-66.5137
641,Utuado,Utuado,PR,Puerto Rico,,18.26742,-66.70212
646,Dorado,Dorado,PR,Puerto Rico,,18.43251,-66.28429
647,Ensenada,Guánica,PR,Puerto Rico,,17.96667,-66.94266
650,Florida,Florida,PR,Puerto Rico,,18.34487,-66.58347
652,Garrochales,Arecibo,PR,Puerto Rico,,18.45614,-66.60194
653,Guanica,Guánica,PR,Puerto Rico,,17.99413,-66.90266
656,Guayanilla,Guayanilla,PR,Puerto Rico,,18.04186,-66.79123
659,Hatillo,Hatillo,PR,Puerto Rico,,18.41036,-66.79691
660,Hormigueros,Hormigueros,PR,Puerto Rico,,18.13412,-67.11399
662,Isabela,Isabela,PR,Puerto Rico,,18.46622,-67.01508
664,Jayuya,Jayuya,PR,Puerto Rico,,18.21064,-66.59066
667,Lajas,Lajas,PR,Puerto Rico,,18.01246,-67.0417
669,Lares,Lares,PR,Puerto Rico,,18.27019,-66.86727
670,Las Marias,Las Marías,PR,Puerto Rico,,18.23782,-66.98852
674,Manati,Manatí,PR,Puerto Rico,,18.42229,-66.4891
676,Moca,Moca,PR,Puerto Rico,,18.37897,-67.08098
677,Rincon,Rincón,PR,Puerto Rico,,18.33535,-67.23155
678,Quebradillas,Quebradillas,PR,Puerto Rico,,18.42949,-66.93016
680,Mayaguez,Mayagüez,PR,Puerto Rico,,18.16307,-67.36122
682,Mayaguez,Mayagüez,PR,Puerto Rico,,18.22415,-67.15309
683,San German,San Germán,PR,Puerto Rico,,18.10926,-67.03803
685,San Sebastian,San Sebastián,PR,Puerto Rico,,18.33656,-66.97518
687,Morovis,Morovis,PR,Puerto Rico,,18.31707,-66.42029
688,Sabana Hoyos,Arecibo,PR,Puerto Rico,,18.3807,-66.62496
690,San Antonio,Aguadilla,PR,Puerto Rico,,18.49363,-67.09734
692,Vega Alta,Vega Alta,PR,Puerto Rico,,18.40905,-66.33768
693,Vega Baja,Vega Baja,PR,Puerto Rico,,18.42633,-66.39811
694,Vega Baja,Vega Baja,PR,Puerto Rico,,18.48327,-66.39269
698,Yauco,Yauco,PR,Puerto Rico,,18.07274,-66.85519
703,Aguas Buenas,Aguas Buenas,PR,Puerto Rico,,18.24739,-66.13143
704,Aguirre,Salinas,PR,Puerto Rico,,17.97442,-66.22888
705,Aibonito,Aibonito,PR,Puerto Rico,,18.1294,-66.26653
707,Maunabo,Maunabo,PR,Puerto Rico,,18.01752,-65.92127
714,Arroyo,Arroyo,PR,Puerto Rico,,17.9981,-66.05635
715,Mercedita,Ponce,PR,Puerto Rico,,17.99738,-66.56104
716,Ponce,Ponce,PR,Puerto Rico,,17.99942,-66.59868
717,Ponce,Ponce,PR,Puerto Rico,,18.00272,-66.61146
718,Naguabo,Naguabo,PR,Puerto Rico,,18.23145,-65.76067
719,Naranjito,Naranjito,PR,Puerto Rico,,18.28879,-66.25316
720,Orocovis,Orocovis,PR,Puerto Rico,,18.21559,-66.42421
723,Patillas,Patillas,PR,Puerto Rico,,18.03139,-66.01122
725,Caguas,Caguas,PR,Puerto Rico,,18.22052,-66.03962
727,Caguas,Caguas,PR,Puerto Rico,,18.21142,-66.07374
728,Ponce,Ponce,PR,Puerto Rico,,18.00697,-66.65995
729,Canovanas,Canóvanas,PR,Puerto Rico,,18.33524,-65.88677
730,Ponce,Ponce,PR,Puerto Rico,,18.03256,-66.61384
731,Ponce,Ponce,PR,Puerto Rico,,18.09914,-66.63279
735,Ceiba,Ceiba,PR,Puerto Rico,,18.2525,-65.67534
736,Cayey,Cayey,PR,Puerto Rico,,18.10736,-66.14994
738,Fajardo,Fajardo,PR,Puerto Rico,,18.31793,-65.66793
739,Cidra,Cidra,PR,Puerto Rico,,18.17543,-66.16198
740,Puerto Real,Fajardo,PR,Puerto Rico,,18.33251,-65.63419
741,Punta Santiago,Humacao,PR,Puerto Rico,,18.16569,-65.75506
745,Rio Grande,Río Grande,PR,Puerto Rico,,18.3466,-65.81382
751,Salinas,Salinas,PR,Puerto Rico,,18.01205,-66.25871
754,San Lorenzo,San Lorenzo,PR,Puerto Rico,,18.1447,-65.97565
757,Santa Isabel,Santa Isabel,PR,Puerto Rico,,17.9933,-66.39056
765,Vieques,Vieques,PR,Puerto Rico,,18.12365,-65.43013
766,Villalba,Villalba,PR,Puerto Rico,,18.13039,-66.4757
767,Yabucoa,Yabucoa,PR,Puerto Rico,,18.07033,-65.89618
769,Coamo,Coamo,PR,Puerto Rico,,18.09459,-66.3607
771,Las Piedras,Las Piedras,PR,Puerto Rico,,18.18797,-65.86916
772,Loiza,Loíza,PR,Puerto Rico,,18.43048,-65.90377
773,Luquillo,Luquillo,PR,Puerto Rico,,18.34073,-65.72756
775,Culebra,Culebra,PR,Puerto Rico,,18.31387,-65.28618
777,Juncos,Juncos,PR,Puerto Rico,,18.22365,-65.90904
778,Gurabo,Gurabo,PR,Puerto Rico,,18.26319,-65.97938
780,Coto Laurel,Ponce,PR,Puerto Rico,,18.09998,-66.57032
782,Comerio,Comerío,PR,Puerto Rico,,18.22501,-66.22452
783,Corozal,Corozal,PR,Puerto Rico,,18.30348,-66.32851
784,Guayama,Guayama,PR,Puerto Rico,,18.00558,-66.13651
786,La Plata,Aibonito,PR,Puerto Rico,,18.1357,-66.22881
791,Humacao,Humacao,PR,Puerto Rico,,18.14391,-65.81398
794,Barranquitas,Barranquitas,PR,Puerto Rico,,18.19934,-66.31179
795,Juana Diaz,Juana Díaz,PR,Puerto Rico,,18.05128,-66.49485
802,St Thomas,St. Thomas,VI,Virgin Islands,,18.34349,-64.9287
820,Christiansted,St. Croix,VI,Virgin Islands,,17.7388,-64.70695
830,St John,St. John,VI,Virgin Islands,,18.33857,-64.73802
840,Frederiksted,St. Croix,VI,Virgin Islands,,17.72649,-64.84717
850,Kingshill,St. Croix,VI,Virgin Islands,,17.72763,-64.79122
851,Kingshill,St. Croix,VI,Virgin Islands,,17.74757,-64.78737
901,San Juan,San Juan,PR,Puerto Rico,,18.46478,-66.10277
906,San Juan,San Juan,PR,Puerto Rico,,18.46446,-66.09499
907,San Juan,San Juan,PR,Puerto Rico,,18.45287,-66.08381
909,San Juan,San Juan,PR,Puerto Rico,,18.44131,-66.06866
911,San Juan,San Juan,PR,Puerto Rico,,18.45133,-66.05636
912,San Juan,San Juan,PR,Puerto Rico,,18.44503,-66.05995
913,San Juan,San Juan,PR,Puerto Rico,,18.45024,-66.04275
915,San Juan,San Juan,PR,Puerto Rico,,18.43673,-66.04576
917,San Juan,San Juan,PR,Puerto Rico,,18.4208,-66.04989
918,San Juan,San Juan,PR,Puerto Rico,,18.42139,-66.06774
920,San Juan,San Juan,PR,Puerto Rico,,18.41904,-66.09023
921,San Juan,San Juan,PR,Puerto Rico,,18.39206,-66.0871
923,San Juan,San Juan,PR,Puerto Rico,,18.41146,-66.03715
924,San Juan,San Juan,PR,Puerto Rico,,18.39987,-66.01344
925,San Juan,San Juan,PR,Puerto Rico,,18.40028,-66.05058
926,San Juan,San Juan,PR,Puerto Rico,,18.34691,-66.05434
927,San Juan,San Juan,PR,Puerto Rico,,18.38884,-66.07149
934,Fort Buchanan,Guaynabo,PR,Puerto Rico,,18.41372,-66.11998
949,Toa Baja,Toa Baja,PR,Puerto Rico,,18.43166,-66.21349
950,Toa Baja,Dorado,PR,Puerto Rico,,18.46201,-66.23917
951,Toa Baja,Toa Baja,PR,Puerto Rico,,18.43175,-66.25628
952,Sabana Seca,Toa Baja,PR,Puerto Rico,,18.42874,-66.18897
953,Toa Alta,Toa Alta,PR,Puerto Rico,,18.36319,-66.24764
956,Bayamon,Bayamón,PR,Puerto Rico,,18.32121,-66.17185
957,Bayamon,Bayamón,PR,Puerto Rico,,18.36696,-66.18857
959,Bayamon,Bayamón,PR,Puerto Rico,,18.3852,-66.15583
960,Bayamon,Bayamón,PR,Puerto Rico,,18.41674,-66.14365
961,Bayamon,Bayamón,PR,Puerto Rico,,18.40987,-66.16415
962,Catano,Cataño,PR,Puerto Rico,,18.43514,-66.13949
965,Guaynabo,Guaynabo,PR,Puerto Rico,,18.42853,-66.11175
966,Guaynabo,Guaynabo,PR,Puerto Rico,,18.39784,-66.11394
968,Guaynabo,Guaynabo,PR,Puerto Rico,,18.40609,-66.10123
969,Guaynabo,Guaynabo,PR,Puerto Rico,,18.36696,-66.11
971,Guaynabo,Guaynabo,PR,Puerto Rico,,18.32067,-66.11751
976,Trujillo Alto,Trujillo Alto,PR,Puerto Rico,,18.33903,-65.99286
979,Carolina,Carolina,PR,Puerto Rico,,18.43734,-66.0089
982,Carolina,Carolina,PR,Puerto Rico,,18.40961,-65.99143
983,Carolina,Carolina,PR,Puerto Rico,,18.41788,-65.98104
985,Carolina,Carolina,PR,Puerto Rico,,18.40628,-65.94767
987,Carolina,Carolina,PR,Puerto Rico,,18.34115,-65.94257
1001,Agawam,Hampden,MA,Massachusetts,,42.06262,-72.62521
1002,Amherst,Hampshire,MA,Massachusetts,,42.37633,-72.46462
1003,Amherst,Hampshire,MA,Massachusetts,,42.39135,-72.52327
1005,Barre,Worcester,MA,Massachusetts,,42.42117,-72.10655
1007,Belchertown,Hampshire,MA,Massachusetts,,42.28163,-72.40009
1008,Blandford,Hampden,MA,Massachusetts,,42.18234,-72.95819
1009,Bondsville,Hampden,MA,Massachusetts,,42.21133,-72.34189
1010,Brimfield,Hampden,MA,Massachusetts,,42.12904,-72.20597
1011,Chester,Hampden,MA,Massachusetts,,42.30233,-72.96448
1012,Chesterfield,Hampshire,MA,Massachusetts,,42.38495,-72.84675
1013,Chicopee,Hampden,MA,Massachusetts,,42.16059,-72.60788
1020,Chicopee,Hampden,MA,Massachusetts,,42.17618,-72.56538
1022,Chicopee,Hampden,MA,Massachusetts,,42.19721,-72.54249
1026,Cummington,Hampshire,MA,Massachusetts,,42.46858,-72.92296
1027,Easthampton,Hampshire,MA,Massachusetts,,42.29506,-72.74303
1028,East Longmeadow,Hampden,MA,Massachusetts,,42.05967,-72.49899
1029,East Otis,Berkshire,MA,Massachusetts,,42.19402,-73.05067
1030,Feeding Hills,Hampden,MA,Massachusetts,,42.06869,-72.67967
1031,Gilbertville,Worcester,MA,Massachusetts,,42.32782,-72.19191
1032,Goshen,Hampshire,MA,Massachusetts,,42.45313,-72.81965
1033,Granby,Hampshire,MA,Massachusetts,,42.26082,-72.50361
1034,Granville,Hampden,MA,Massachusetts,,42.0826,-72.95611
1035,Hadley,Hampshire,MA,Massachusetts,,42.35563,-72.5692
1036,Hampden,Hampden,MA,Massachusetts,,42.0638,-72.4157
1037,Hardwick,Worcester,MA,Massachusetts,,42.37063,-72.19466
1038,Hatfield,Hampshire,MA,Massachusetts,,42.38466,-72.60559
1039,Haydenville,Hampshire,MA,Massachusetts,,42.41049,-72.69188
1040,Holyoke,Hampden,MA,Massachusetts,,42.21251,-72.64109
1050,Huntington,Hampshire,MA,Massachusetts,,42.29092,-72.87526
1053,Leeds,Hampshire,MA,Massachusetts,,42.35205,-72.71032
1054,Leverett,Franklin,MA,Massachusetts,,42.47381,-72.48768
1056,Ludlow,Hampden,MA,Massachusetts,,42.19211,-72.45805
1057,Monson,Hampden,MA,Massachusetts,,42.09118,-72.32392
1060,Northampton,Hampshire,MA,Massachusetts,,42.32218,-72.63126
1062,Florence,Hampshire,MA,Massachusetts,,42.32146,-72.69244
1063,Northampton,Hampshire,MA,Massachusetts,,42.31962,-72.63951
1066,North Hatfield,Hampshire,MA,Massachusetts,,42.40742,-72.64032
1068,Oakham,Worcester,MA,Massachusetts,,42.35125,-72.04776
